MSS,Run1,Run2,Run3,Run4,Run5,Average
100,344.979,353.055,375.270,345.784,332.077,350.233
200,170.276,172.095,184.041,154.877,175.155,171.289
300,104.903,111.361,114.592,137.585,121.082,117.905
400,95.662,89.372,73.828,92.365,95.839,89.4132
500,73.611,79.772,71.706,71.270,57.931,70.858
600,71.954,69.344,52.102,55.760,59.119,61.6558
700,59.155,45.042,60.592,39.747,59.110,52.7292
800,52.970,51.202,53.446,40.848,42.823,48.2578
900,41.497,44.366,43.477,40.002,38.199,41.5082
1000,30.593,38.633,33.035,34.165,36.644,34.614
